country_code,area
ABW,180
AFG,652860
AGO,1246700
AIA,90
ALB,27400
AND,470
ARE,83600
ARG,2736690
ARM,28470
ASM,200
ATG,440
AUS,7682300
AUT,82409
AZE,82658
BDI,25680
BEL,30280
BEN,112760
BFA,273600
BGD,130170
BGR,108560
BHR,760
BHS,10010
BIH,51000
BLM,21
BLR,202910
BLZ,22810
BMU,50
BOL,1083300
BRA,8358140
BRB,430
BRN,5270
BTN,38117
BWA,566730
CAF,622980
CAN,9093510
CHE,39516
CHL,743532
CHN,9388211
CIV,318000
CMR,472710
COD,2267050
COG,341500
COK,240
COL,1109500
COM,1861
CPV,4030
CRI,51060
CUB,106440
CUW,444
CYM,240
CYP,9240
CZE,77240
DEU,348560
DJI,23180
DMA,750
DNK,42430
DOM,48320
DZA,2381740
ECU,248360
EGY,995450
ERI,101000
ESH,266000
ESP,498800
EST,42390
ETH,1000000
FIN,303890
FJI,18270
FLK,12170
FRA,547557
FRO,1396
FSM,700
GAB,257670
GBR,241930
GEO,69490
GHA,227540
GIB,10
GIN,245720
GLP,1690
GMB,10120
GNB,28120
GNQ,28050
GRC,128900
GRD,340
GRL,410450
GTM,107160
GUF,82200
GUM,540
GUY,196850
HKG,1050
HND,111890
HRV,55960
HTI,27560
HUN,90530
IDN,1811570
IMN,570
IND,2973190
IRL,68890
IRN,1628550
IRQ,434320
ISL,100250
ISR,21640
ITA,294140
JAM,10830
JOR,88780
JPN,364555
KAZ,2699700
KEN,569140
KGZ,191800
KHM,176520
KIR,810
KNA,260
KOR,97230
KWT,17820
LAO,230800
LBN,10230
LBR,96320
LBY,1759540
LCA,610
LIE,160
LKA,62710
LSO,30360
LTU,62674
LUX,2590
LVA,62200
MAC,30
MAF,53
MAR,446300
MCO,1
MDA,32850
MDG,581795
MDV,300
MEX,1943950
MHL,180
MKD,25220
MLI,1220190
MLT,320
MMR,653290
MNE,13450
MNG,1553560
MNP,460
MOZ,786380
MRT,1030700
MSR,100
MTQ,1060
MUS,2030
MWI,94280
MYS,328550
MYT,375
NAM,823290
NCL,18280
NER,1266700
NGA,910770
NIC,120340
NIU,260
NLD,33720
NOR,365268
NPL,143350
NRU,20
NZL,263310
OMN,309500
PAK,770880
PAN,74340
PER,1280000
PHL,298170
PLW,460
PNG,452860
POL,306230
PRI,8870
PRK,120410
PRT,91590
PRY,397300
PSE,6020
PYF,3660
QAT,11610
REU,2500
ROU,230170
RUS,16376870
RWA,24670
SAU,2149690
SDN,1765048
SEN,192530
SGP,700
SHN,390
SLB,27990
SLE,72180
SLV,20720
SMR,60
SOM,627340
SPM,230
SRB,87460
SSD,610952
STP,960
SUR,156000
SVK,48088
SVN,20140
SWE,410340
SWZ,17200
SXM,34
SYC,460
SYR,183630
TCA,950
TCD,1259200
TGO,54390
THA,510890
TJK,139960
TKL,10
TKM,469930
TLS,14870
TON,720
TTO,5130
TUN,155360
TUR,769630
TUV,30
TWN,35410
TZA,885800
UGA,199810
UKR,579320
URY,175020
USA,9147420
UZB,425400
VCT,390
VEN,882050
VGB,150
VIR,350
VNM,310070
VUT,12190
WLF,140
WSM,2830
YEM,527970
ZAF,1213090
ZMB,743390
ZWE,386850
